gfx,gfy,gfz,pil0_fx,pil0_fy,pil0_fz,pil0_contact,pil1_fx,pil1_fy,pil1_fz,pil1_contact,pil2_fx,pil2_fy,pil2_fz,pil2_contact,pil3_fx,pil3_fy,pil3_fz,pil3_contact,pil4_fx,pil4_fy,pil4_fz,pil4_contact,pil5_fx,pil5_fy,pil5_fz,pil5_contact,pil6_fx,pil6_fy,pil6_fz,pil6_contact,pil7_fx,pil7_fy,pil7_fz,pil7_contact,pil8_fx,pil8_fy,pil8_fz,pil8_contact,position,angle
-0.173542261,-0.02458602,3.270161152,-0.136429459,-0.004839609,0.485101312,0,-0.011219033,0.022600068,-0.030313026,0,-0.001680486,0.004383796,-0.00581676,0,-0.023707718,-0.053360399,2.283374071,1,0.002504243,-0.005361061,-0.055705067,0,-0.002484977,0.001131557,-0.011659303,0,-0.003805862,-4.75E-05,0.615827978,1,-0.000162519,0.003186467,-0.031679537,0,0.00344355,0.007720651,0.021031663,0,7.29845047,1.609762192
0.336445361,0.114587218,3.701391697,0.137608945,0.036561787,1.550186396,1,0.005916129,0.016602686,0.027769428,0,0.008868222,0.014089172,0.037106622,0,0.128928646,-0.080202773,2.029000998,1,0.00221407,0.005939065,0.041262928,0,-0.006697,0.000247853,-0.006417942,0,-0.01918488,0.084652282,0.155015036,0,-0.010109737,-0.00198601,-0.077308089,0,0.088900961,0.03868315,-0.055223368,0,7.29845047,-1.609762192
-0.094004177,-0.179600358,6.280825615,-0.094990402,-0.103414066,1.359102368,1,-0.011648618,0.023198206,-0.03066208,0,2.11E-05,0.002425473,0.005249719,0,0.007995181,-0.095614627,3.464077473,1,0.003314978,-0.007121217,-0.061503746,0,-0.000412404,0.000993498,-0.008117031,0,3.21E-05,-0.003986923,1.541835427,1,-0.000962055,-0.00124779,-0.00624904,0,0.002646016,0.005167084,0.017092533,0,7.732095242,2.155999422
0.477823704,-0.304324985,6.508089066,0.202041328,-0.058840651,2.738723755,1,0.003427612,0.015011298,0.028722733,0,0.01014578,-0.006905497,0.040419374,0,0.193174601,-0.225181475,3.178162575,1,0.006886624,0.00957151,0.082870871,0,-0.004964284,-0.000148771,0.001584801,0,-0.012483438,-0.049661607,0.567115724,1,-0.007139841,-0.029910939,-0.076838739,0,0.086735301,0.041741177,-0.052672438,0,7.732095242,-2.155999422
-0.239376664,-0.022810619,11.15427876,-0.252418518,-0.087918065,2.450417995,1,-0.013747511,0.026439281,-0.04259792,0,-0.001400641,0.001973839,0.002217778,0,0.043013897,0.029378511,5.283724785,1,0.001550991,-0.006424767,-0.059315912,0,-0.002626891,0.00012691,-0.006535308,0,-0.016098937,0.004715696,3.518222094,1,-0.000914461,-0.000551596,-0.014204443,0,0.003265411,0.009449575,0.022349471,0,6.833595753,2.075026274
0.548244119,-0.291498333,11.67850399,0.095469937,-0.027020089,4.657139301,1,0.002237223,0.009638833,0.022984184,0,0.009277698,0.012951386,0.040634125,0,0.341430455,-0.283735782,5.336723804,1,0.003071217,0.010161968,0.060696345,0,-0.00559999,0.002230271,0.000790136,0,0.04770596,0.020584498,1.683723927,1,-0.020437786,-0.057947878,-0.075654082,0,0.075089425,0.021638487,-0.048534125,0,6.833595753,-2.075026274
-0.132921949,-0.14244917,5.361013889,-0.001411396,-0.06514968,0.854151011,1,-0.011721702,0.027493391,-0.039279573,0,-0.002739276,0.005732916,-0.009923046,0,0.01326136,-0.096545517,3.066205263,1,0.002779063,-0.006619424,-0.053107582,0,-0.002970001,0.001503319,-0.005081824,0,-0.133207977,-0.018536204,1.541197658,1,-0.000825385,0.000933639,-0.017323419,0,0.003913372,0.008738395,0.024175763,0,7.109193802,2.963254213
0.433727622,-0.303895801,5.584464073,0.070085071,-0.067123704,2.244159698,1,0.005563723,-0.000750282,0.024934089,0,0.008316936,0.012428164,0.033236582,0,0.212421536,-0.203232065,2.871533871,1,0.004892601,0.009469996,0.064140715,0,-0.009057142,0.000768985,-0.013320199,0,0.075784236,-0.043945678,0.487109572,0,-0.013171949,-0.029880755,-0.07758747,0,0.078892618,0.018369544,-0.049743135,0,7.109193802,-2.963254213
-0.295812339,0.088622235,5.203258038,-0.279656529,0.055329576,0.790966332,1,-0.008563448,0.0047023,-0.03030755,0,0.00587566,0.000905821,-0.011985139,0,-0.01825304,0.008062099,2.842371941,1,-0.003498757,0.0066211,-0.008259631,0,-0.012994769,-0.001878251,0.015839113,0,0.019967901,-0.002670944,1.617725611,1,0.000189242,0.004565982,-0.039002556,0,0.001121408,0.012984554,0.025909988,0,6.13256979,2.519948483
0.082819879,-0.152949095,5.342071056,0.057152137,-0.039600324,1.932651162,1,-0.00283791,0.019609738,-0.018230971,0,0.001071538,-0.007816158,-0.012360694,0,0.059719216,-0.078052685,2.807189941,1,-5.09E-05,0.006654727,-0.012084175,0,0.000891042,0.004491799,-0.00758823,0,-0.036757726,-0.034964435,0.674303949,1,-0.009317215,0.009791532,-0.012681129,0,0.012949701,-0.033063293,-0.00912909,0,6.13256979,-2.519948483
1.06430006,-0.374725848,4.434875488,0.117659919,-0.077867709,1.016834736,1,-0.008763529,0.009618854,-0.039942462,0,0.005684331,-0.000585414,-0.009191543,0,0.507094085,-0.178926975,1.95332706,1,-0.012381258,0.002809436,0.008923907,0,-0.007461283,0.00294601,0.00607252,0,0.462115377,-0.151395425,1.52350843,1,0.000605152,0.00602917,-0.04667069,0,-0.000252653,0.012646215,0.022013709,0,4.746641159,1.503839731
-1.115457654,0.527599871,6.255957603,0.42430523,-0.084993877,1.694602132,1,-0.569067597,0.416387707,0.308874339,0,0.000803397,0.001417544,-0.020430302,0,0.511213303,-0.088233814,1.930529118,1,-0.607498527,0.163660944,1.608239651,1,0.005387405,0.009309593,-0.007792877,0,0.058441408,-0.090715505,0.28648898,0,-0.948371649,0.174999252,0.484067142,0,0.009329383,0.025767984,-0.028620115,0,4.746641159,-1.503839731
-0.267995715,-0.115700051,12.16309357,-0.18017441,0.035510626,2.892189503,1,-0.005514885,0.01274733,0.012019978,0,0.004435664,-0.000103701,-0.02118234,0,0.11153166,-0.148285031,5.38961792,1,-0.004461124,0.004425152,-0.014722077,0,-0.011415365,-0.001891515,0.006495845,0,-0.182744533,-0.034758411,3.930275202,1,0.000465042,0.006278957,-0.050062522,0,-0.000117753,0.010376544,0.018462036,0,6.285732746,2.477598906
0.231254816,-0.52796644,12.10634613,-0.245409906,-0.229192644,4.772873402,1,-0.020855069,0.0377529,-0.028227555,0,-0.001162884,-0.006548884,-0.013483119,0,0.370870531,-0.292222679,5.5603652,1,-0.009436045,0.024914397,0.023325004,0,0.00263099,-4.02E-05,-0.004080179,0,0.169807494,-0.067146674,1.832349777,1,-0.042698257,0.001282712,-0.018049924,0,0.007507983,0.00323461,-0.018727059,0,6.285732746,-2.477598906
0.614443362,-0.216562241,3.933262348,0.009273204,-0.005395108,0.583294213,1,-0.00662784,0.01948316,0.005218017,0,0.002844405,0.002084903,-0.012864961,0,0.339784265,-0.169756576,1.838392854,1,-0.002440986,0.005579459,-0.010045699,0,-0.010730155,-0.002911363,0.007359596,0,0.280816704,-0.082949735,1.553007245,1,0.000537384,0.005373477,-0.049922545,0,0.000986369,0.011929539,0.018823721,0,4.279619694,2.483561516
-0.538913667,0.02473286,5.108293056,0.332626164,-0.145500124,1.664548397,1,-0.148966447,0.130256772,0.065818913,0,-0.000413976,-0.003404357,-0.017780656,0,0.423271447,-0.091282777,1.800732851,1,-0.419943899,0.113903739,1.057753325,1,0.004343392,0.005872412,-0.007322211,0,0.032751132,-0.084119372,0.164584965,0,-0.775432587,0.095130675,0.401455402,0,0.012851127,0.003875891,-0.021497883,0,4.279619694,-2.483561516
0.960741758,-0.490415573,3.532498837,0.157577053,-0.0766702,0.735363305,1,-0.017216831,0.008027846,0.000127348,0,0.00166408,0.004642049,0.013595103,0,0.539772809,-0.301205963,1.695283651,1,-0.001107533,0.007974288,-0.024691723,0,0.00630206,0.014176598,-0.030968811,0,0.271046668,-0.132818237,1.175287962,1,0.001561687,0.000492777,-0.006004112,0,0.001141728,-0.01503476,-0.025493609,0,4.133506775,0.793886065
-1.046732664,0.400096357,5.652064323,0.342914432,-0.11806614,1.572284579,1,-0.482672125,0.374927133,0.383176655,0,-0.000134848,-0.002512534,0.012677671,0,0.441035002,-0.039652105,1.408031821,1,-0.571040392,0.109500006,1.587615967,1,0.002256417,0.008860856,0.006696646,0,0.033058234,-0.024766928,0.08473587,0,-0.817810774,0.092832848,0.586864114,1,0.005661365,-0.001026755,0.009980935,0,4.133506775,-0.793886065
1.386615396,-0.479631007,6.306673527,0.407893628,-0.118861794,2.018175602,1,-0.12484967,-0.000937437,0.124428637,0,-0.000687731,0.00450155,0.024828918,0,0.90613544,-0.203181401,2.222126961,1,-0.384044409,0.060977928,0.264730066,0,0.00297035,0.008194947,-0.026757644,0,0.630670547,-0.201693103,1.603140235,1,-0.052087497,-0.012767212,0.105519161,0,0.000614802,-0.015864465,-0.029518543,0,3.711507559,0.41820994
-1.539181948,0.722356439,9.708981514,0.639448524,-0.076470435,1.788269997,1,-1.701922536,0.688583016,1.080737352,1,-0.000125568,-0.008778694,-0.007147538,0,0.832028031,-0.068024725,2.070095062,1,-0.789555311,0.02973884,3.040356874,1,0.006459544,-0.000431198,0.002983968,0,0.35405767,0.098720782,0.454592884,0,-0.875387549,0.050094701,1.287262559,1,-0.00418481,0.008924041,-0.008170058,0,3.711507559,-0.41820994
2.31551528,-0.533566356,8.239297867,1.242141247,-0.049659591,1.115606546,1,-0.464768291,-0.184844226,1.76797998,1,-0.003704309,0.005681699,0.025926553,0,1.598853707,-0.104901016,1.071651578,1,-1.009278536,0.006069809,1.820599079,1,0.004445797,0.015138959,-0.039274748,0,1.509089112,-0.153928146,1.402221084,1,-0.562361002,-0.054537397,1.102644682,1,0.001097768,-0.012586433,-0.028056839,0,3.690854788,1.913705468
-1.094266415,1.63552618,14.53113747,0.717869103,0.087195382,1.477484584,1,-1.229712009,1.121888638,2.3317945,1,-0.000273956,-0.007798732,-0.006410633,0,0.849203169,-0.003010878,1.406921625,1,-0.462253064,0.283410192,6.045734882,1,0.010552521,-0.000563576,0.011519103,0,0.254043072,0.054224651,0.214252248,0,-1.223040342,0.096400008,3.064706802,1,-0.010654924,0.003780598,-0.01486666,0,3.690854788,-1.913705468
1.666757345,-0.516064644,5.010460377,0.620084584,-0.04841464,0.487505913,0,-0.224330544,-0.172690883,1.340669155,1,-0.00474656,0.005214829,0.028002135,0,1.213393211,-0.12537007,0.432126045,0,-0.526597559,-0.048664469,1.510396957,1,0.005400314,0.014594415,-0.037116326,0,0.787503362,-0.032622021,0.503611445,1,-0.204835907,-0.090019725,0.777498603,1,0.000886428,-0.018092075,-0.032233823,0,3.633372784,1.230507731
-0.345288575,1.233677149,9.138813019,0.079780906,0.001550491,0.139137834,0,-0.363664061,0.924098134,2.100600719,1,0.00030399,-0.010496209,0.003940281,0,0.185497791,0.028217962,0.145744547,0,0.127803087,0.280114621,4.634667397,1,0.009520682,-0.000415646,0.018393166,0,0.01706153,-0.005791936,0.058766451,0,-0.398369312,0.021027034,2.03667593,1,-0.00322319,-0.004627315,0.000886771,0,3.633372784,-1.230507731
2.384605646,-0.897777855,10.27197552,1.509016633,-0.10294234,0.759089172,1,-0.846217036,-0.383741945,3.491873264,1,0.002739451,0.005532391,-0.021510493,0,1.668877959,-0.1318129,0.590531945,1,-1.157896638,-0.07302627,2.9051826,1,-0.011915966,-0.017332468,0.029605687,0,1.629657984,-0.092405237,1.08574307,1,-0.416111946,-0.117658824,1.418224931,1,0.006455113,0.015609825,0.013234783,0,3.864576578,1.210294127
-0.395725548,1.878151655,16.27303123,1.050202012,0.211931542,1.357182026,1,-0.996130109,1.459080696,3.093195677,1,0.003184406,-0.014855186,-0.012364263,0,0.774623156,-0.015056243,0.883736551,1,-0.329028249,0.47395736,7.183713436,1,0.010231183,0.003450845,0.01207984,0,0.003627549,-0.025142469,0.011932987,0,-0.907407701,-0.202257469,3.748279095,1,-0.005027844,-0.01295743,-0.004724221,0,3.864576578,-1.210294127
0.153891042,-0.408664197,10.48582268,0.012132717,-0.008479952,-0.00010938,0,0.165217087,-0.154735819,3.678600788,1,0.002542168,0.010206613,-0.011115813,0,-0.00227677,0.004215679,-0.083312094,0,0.038495343,-0.12846975,4.057627201,1,-0.004414614,-0.010793339,0.021977477,0,0.004011611,0.000304839,-0.0095783,0,-0.06702438,-0.133438081,2.822565079,1,0.005207869,0.012525597,0.009167218,0,0.646072388,3.054650068
1.392312288,-0.818524778,11.52418041,-0.014549835,-0.005667575,0.041841161,0,0.567783594,-0.278950334,4.195618629,1,0.002075271,-0.017585278,-0.008400355,0,0.003525785,-0.009766093,0.008300341,0,0.563356221,-0.016698224,4.830371857,1,0.011358761,-0.002530778,0.01989943,0,0.005908445,-0.16435045,0.036805,0,0.249459133,-0.336646229,2.411571741,1,0.003394948,0.013670125,-0.011827592,0,0.646072388,-3.054650068
-0.188344255,-0.123198248,10.99631119,0.008287208,-0.005526938,0.000862786,0,-0.019341553,0.005174061,2.615293503,1,0.002929612,0.010147169,-0.008811003,0,-0.006100865,0.005453658,-0.084084831,0,0.016906867,0.044545308,4.264965534,1,-0.004871756,-0.015688665,0.015909106,0,0.002020627,-0.001184989,-0.016660564,0,-0.194219694,-0.182317168,4.192993164,1,0.006045293,0.016199315,0.015842944,0,-0.531378925,3.568096399
0.873194635,-1.307650685,11.29363537,-0.000931013,-0.000651641,0.021008106,0,0.247011721,-0.703798532,4.291105747,1,0.001897322,-0.018435724,-0.023581553,0,0.010015788,-0.00562022,-0.001629448,0,0.305891812,-0.1714959,4.225749016,1,0.01660846,0.001678287,0.022487069,0,0.006017562,0.033139147,0.009141255,0,0.291796446,-0.473426998,2.775415659,1,-0.005113512,0.030960971,-0.026058869,0,-0.531378925,-3.568096399
-0.057312354,-0.240873501,6.51229763,0.010027329,-0.006825437,0.004513677,0,-0.010068376,0.002516406,1.220886707,1,0.003331743,0.010631834,-0.00259186,0,-0.008292368,0.005083002,-0.09525466,0,0.000286668,-0.076257855,2.751871824,1,-0.009839725,-0.015266133,0.022886021,0,-0.000852042,-0.002087652,-0.01618927,0,-0.046871178,-0.167109966,2.621980906,1,0.004965594,0.008442303,0.004194479,0,-0.877661467,3.795387268
0.460170686,-1.129699826,7.297498226,-0.067809358,-0.02030902,0.042208869,0,0.199720711,-0.511741638,2.625444889,1,0.001296511,-0.006842323,-0.006188631,0,0.007785959,-0.003125699,0.006779965,0,0.166441426,-0.105052225,2.870138884,1,0.010957818,-0.00347536,0.02416542,0,-0.00105331,-0.036450848,-0.004437809,0,0.135038659,-0.442877531,1.738839149,1,0.007792309,0.000174896,0.000547194,0,-0.877661467,-3.795387268
1.420176864,-0.014339729,4.666622639,0.005981822,0.003012744,0.002324911,0,0.200196937,0.109087855,0.646840811,1,-0.04641379,-0.031618904,0.062693141,0,-0.000962569,0.001726032,-0.023375075,0,0.807841957,0.000611748,2.232953787,1,-0.063865393,-0.022305258,0.077400595,0,0.001204796,0.000562658,-0.006993816,0,0.511998892,-0.08575251,1.674619913,1,0.004194096,0.010335912,0.000158178,0,-3.222758532,2.050286055
-1.42212069,-0.864149392,5.855100632,0.088006146,-0.00356147,-0.006928547,0,0.689937949,-0.713711739,2.192693949,1,-0.262091756,0.070681266,0.324451029,0,-0.00424951,0.003461225,0.00676858,0,0.284197122,-0.211489201,0.552947104,1,-0.948219419,-0.007006301,1.078727484,1,-0.006057639,0.177535042,-0.028595015,0,0.063211791,-0.186497316,0.278994232,0,-1.326855421,0.006439114,1.456042051,1,-3.222758532,-2.050286055
1.127150416,0.02100607,4.053432941,0.008941506,0.003658917,0.00575498,0,0.192954928,0.078310713,0.472208083,0,-0.132763728,-0.033635192,0.186791524,0,-0.002878819,0.001788053,-0.031605553,0,0.74802053,0.038912594,1.851850748,1,-0.112138815,-0.017663091,0.148001716,0,0.001083269,1.84E-05,-0.004089759,0,0.422023684,-0.059913252,1.424677372,1,0.001907816,0.009528955,-0.000155779,0,-3.395669222,2.161079407
-1.201179266,-0.844563603,5.000471115,0.047384743,-0.001929723,-0.008570162,0,0.582660794,-0.6104123,1.792743564,1,-0.253585458,0.0535766,0.29152602,0,-0.002578233,0.001472499,0.007734472,0,0.278439343,-0.208661258,0.319554657,0,-0.827497065,-0.013247936,1.140753984,1,0.002714116,0.089033715,0.015615818,0,0.036137767,-0.113154948,0.046897825,0,-1.064855337,-0.041240294,1.394215107,1,-3.395669222,-2.161079407
1.452275634,0.124993399,6.656921864,0.007629537,0.005019818,0.002039934,0,0.592509866,0.21555981,1.203608274,1,-0.361916125,0.00099146,0.628967524,1,-0.002159676,0.001953137,-0.035612307,0,1.23410809,0.029801961,2.416374445,1,-0.534034371,-0.024675371,0.923037112,1,9.93E-05,0.001291508,-0.005520688,0,0.626829505,-0.111691289,1.425548673,1,-0.110790528,0.006742365,0.098479278,0,-3.29611659,0.957119703
-2.548285723,-2.259130478,9.268940926,0.053635783,-0.007944869,0.002341274,0,0.694602668,-0.474449873,1.450354338,1,-1.20121038,0.341012686,1.925777435,1,-0.00720773,0.004163892,0.006376881,0,0.45057708,-0.212717652,0.477901727,0,-1.01896131,-0.133477151,2.485602856,1,0.000863155,0.106064536,0.019538181,0,0.302374423,-0.174798146,0.307070851,0,-1.822959542,-1.706983805,2.59397769,1,-3.29611659,-0.957119703
1.840448022,0.310481936,7.957071304,0.00767384,0.00574983,0.0007103,0,0.62466538,0.412882209,1.083091974,1,-0.496718407,-0.069070518,1.189837098,1,-0.002405723,0.003013157,-0.030380784,0,1.448410749,0.115751453,2.420495987,1,-0.645166516,-0.076424725,1.41780436,1,0.000979759,0.000872209,-0.005499644,0,1.042057633,-0.079166397,1.75434494,1,-0.139048666,-0.003125286,0.126667738,0,-3.515921593,0.966343224
-4.114189625,-4.803116798,11.40992451,0.041361894,0.004967791,-0.009255095,0,0.942282021,-0.817802846,2.13766408,1,-1.210959792,0.388469636,1.975851297,1,-0.009118224,0.003542071,0.002194443,0,0.521180093,-0.395442516,0.36168173,0,-1.218156457,-0.163856164,2.946944237,1,-0.002202595,0.004916977,-0.006760959,0,0.239967376,-0.258964151,0.414299309,0,-3.418543816,-3.568947792,3.587304831,1,-3.515921593,-0.966343224
-0.057665322,-0.158721685,3.293940783,-4.12E-05,0.000830317,-0.00669957,0,-0.010173044,0.00352635,-0.014500965,0,-0.059735112,-0.01979506,0.461405635,0,-0.000590247,0.002783345,-0.012958126,0,0.003273156,0.00928376,-0.044134747,0,0.011840625,-0.124016993,2.185388803,1,0.000112955,-0.003642964,-0.006161184,0,0.002822404,0.010048046,-0.052168328,0,-0.005174849,-0.03773848,0.783769369,1,-7.951522827,2.459881306
0.022193482,-0.134587109,3.062371492,-0.058334529,-0.008383498,-0.114064023,0,-0.000238788,-0.00619665,0.012962594,0,0.02408433,-0.114541575,0.852029145,1,-0.000662969,-0.001533588,0.000366976,0,0.001291594,0.00359816,0.015272534,0,0.006921698,-0.013980624,1.831781507,1,-0.001758948,-0.049205016,-0.022151355,0,-0.00219701,0.002195786,0.004420119,0,0.053088102,0.053459894,0.481754303,0,-7.951522827,-2.459881306
-0.224966437,-0.675526559,6.784080505,-4.15E-07,-5.72E-05,-0.006650573,0,-0.009948329,0.00740248,-0.02049621,0,-0.139426246,-0.114969552,0.94893688,1,-0.000124371,0.002921928,-0.010168402,0,0.005324377,0.011199137,-0.06757582,0,0.007177124,-0.286557376,3.540455103,1,0.000148617,-0.003170202,-0.006933541,0,0.004086673,0.009847147,-0.054710418,0,-0.092203885,-0.302142918,2.461223602,1,-7.306509018,4.221319675
0.171787977,-0.04803941,6.920955658,-0.080214903,-0.014358616,-0.104112484,0,-0.000962503,-0.007582111,0.018817088,0,0.021894917,0.009944411,1.324655533,1,-0.000310153,-0.004656749,0.008369939,0,-0.001396428,0.012497275,0.014409848,0,0.125195861,0.008810248,3.27486825,1,-0.001204387,-0.018533528,-0.028611915,0,-0.005162718,-0.040472042,0.013412523,0,0.113948293,0.0063117,2.399146795,1,-7.306509018,-4.221319675
-0.26300621,-0.215869755,3.273262978,-0.00138109,0.00098733,-0.013793043,0,-0.00966416,0.007612529,-0.015151705,0,0.09342093,-0.003271706,0.295924187,0,-0.001030026,0.002188422,-0.010711647,0,0.002239137,0.008751565,-0.043145332,0,-0.044377778,-0.173203751,2.247142553,1,0.000230482,-0.00387358,-0.007699198,0,0.002424839,0.010546902,-0.053780179,0,-0.304868549,-0.065607473,0.874477327,1,-6.05932045,4.6968503
0.499792457,0.015056953,3.578217506,-0.033619639,7.52E-06,-0.106007345,0,-0.000858913,-0.014891692,0.026557872,0,-0.029178061,0.000692675,0.088728867,0,-0.003972373,0.002914443,0.004364499,0,0.004239785,0.002908058,0.05174813,0,0.184258357,-0.027927415,1.816688657,1,-0.000916568,-0.072405376,-0.012470719,0,0.002014748,-0.060145516,0.013263593,0,0.377825141,0.18390426,1.69534409,1,-6.05932045,-4.6968503
-0.286484003,-0.23562333,3.402424335,0.000386229,-0.000183029,-0.007517504,0,-0.009337168,0.001454901,-0.012730208,0,0.174236342,0.002937784,0.492892772,0,-0.001448584,0.002114039,-0.013902806,0,0.002592369,0.008491295,-0.041188776,0,-0.125834614,-0.193090975,2.293745518,1,0.000194877,-0.003513658,-0.004127257,0,0.002502439,0.007364284,-0.032792009,0,-0.3297759,-0.06119797,0.728044868,1,-5.607675076,4.430530548
0.740611017,0.069461793,3.686470985,-0.048028674,-0.001520635,-0.112390675,0,-0.001077182,-0.01963214,0.023997551,0,-0.00262759,-0.013103132,0.035303731,0,-0.001047266,-0.008788748,0.007360189,0,-0.001303756,0.002331026,0.000484773,0,0.245788798,-0.026928289,1.732927918,1,0.004486285,-0.043337226,-0.000835854,0,-0.003418784,-0.027243307,0.009718412,0,0.547839165,0.207684249,1.989905,1,-5.607675076,-4.430530548
0.069784202,-1.184545398,5.316435814,-0.005290455,0.008588973,0.015049876,0,0.002047142,-0.018260565,0.013648376,0,0.110538274,-0.314795882,1.044882774,1,0.000862936,0.002909859,0.004724171,0,0.007910575,0.011554634,-0.110014588,0,0.046221271,-0.524474621,3.07260251,1,-0.002323899,0.000833812,0.000268913,0,0.00509768,0.002266207,-0.023599843,0,-0.095279329,-0.353167802,1.298873186,1,-6.492785931,3.041842222
0.395005614,-0.085402668,5.557909489,-0.008712893,-0.008903928,0.014985142,0,0.000728982,0.003907166,-0.002391902,0,-0.176313221,0.023772122,1.208699584,1,0.004434346,0.005822357,0.008889629,0,0.000603263,0.016877282,0.025441751,0,0.11332652,-0.144618139,2.540123224,1,0.001973644,0.055957232,0.06113413,0,0.011577871,-0.039228719,0.012722017,0,0.447387099,0.001011964,1.688305855,1,-6.492785931,-3.041842222
